Date,TCI,GPR
14-10-2010,19.4270330065575,77.56256
15-10-2010,19.4199039661566,71.87647
18-10-2010,19.6303024459391,30.70746
19-10-2010,19.3392072505509,83.68592
20-10-2010,22.1234104666385,69.56392
21-10-2010,22.4128255170139,43.10032
22-10-2010,22.2118675912395,65.01025
25-10-2010,21.9715855259317,50.78229
26-10-2010,22.1271255174459,44.56369
27-10-2010,21.7177067592137,85.60568
28-10-2010,21.6440667293278,55.86672
29-10-2010,21.6366356138626,78.20037
01-11-2010,21.3859143853901,130.50673
02-11-2010,20.78920779,130.61604
03-11-2010,21.1307521510381,81.79179
04-11-2010,21.1554375076316,79.74084
05-11-2010,22.0959183148853,54.94014
08-11-2010,21.8795966912093,92.5748
09-11-2010,21.2295717615492,131.48009
10-11-2010,21.4959815502477,79.3636
11-11-2010,21.1366975539506,87.63406
12-11-2010,21.0032019184066,75.50947
15-11-2010,23.2105672396916,120.95359
16-11-2010,22.9438537127891,121.23499
17-11-2010,25.1951862138074,77.66469
18-11-2010,24.6967130797687,73.96996
19-11-2010,25.0899887720143,103.71417
22-11-2010,24.827576633519,113.15013
23-11-2010,24.6389334656108,77.37922
24-11-2010,25.3500149332792,166.79205
26-11-2010,25.5754828567457,56.32421
29-11-2010,25.4649285403175,159.03429
30-11-2010,25.0674537557258,183.4077
01-12-2010,24.1778186940261,94.04766
02-12-2010,24.7514722430785,100.17846
03-12-2010,25.1382703264475,86.44166
06-12-2010,25.284507123183,110.68246
07-12-2010,25.2237627509183,127.92436
08-12-2010,25.0447034563141,67.67611
09-12-2010,24.5201301835191,88.63057
10-12-2010,24.1435669564786,61.2245
13-12-2010,23.9060600746188,72.62634
14-12-2010,23.5245815832294,67.45048
15-12-2010,23.3687583721157,72.64403
16-12-2010,23.3737783523761,136.46005
17-12-2010,23.232371422211,107.16203
20-12-2010,22.9155369087028,128.25696
21-12-2010,22.6193172611866,156.80794
22-12-2010,22.8359501206291,163.83025
23-12-2010,22.4466193783978,124.68887
27-12-2010,22.6389885480054,87.47978
28-12-2010,22.3729684246529,134.57306
29-12-2010,22.0283684992527,53.03965
30-12-2010,21.796287934625,161.35718
31-12-2010,21.684708177802,45.37764
03-01-2011,21.216266217437,74.20152
04-01-2011,21.3054858237837,119.25243
05-01-2011,20.9736842735616,44.56369
