Date,EPU,TCI
16-05-2011,123.56,24.038535899962
17-05-2011,105.09,24.1168903134835
18-05-2011,75.09,24.3739994059329
19-05-2011,95.62,23.6834080419627
20-05-2011,56.74,23.0317418191471
23-05-2011,121.54,22.7969305564842
24-05-2011,89.39,24.1068030470067
25-05-2011,115.3,23.5530821667656
26-05-2011,79.23,22.9983900021014
27-05-2011,82.4,22.9677953716459
31-05-2011,71.4,23.2304609081314
01-06-2011,97.43,27.3481925924374
02-06-2011,78.19,28.1423333024095
03-06-2011,120.72,27.6283431361646
06-06-2011,107.05,27.3833743701939
07-06-2011,93.34,27.4324884381768
08-06-2011,93.84,27.127912601449
09-06-2011,86.6,27.5064345244596
10-06-2011,182.31,27.4227465504071
13-06-2011,122.06,28.0596267540483
14-06-2011,134.01,27.7006725655369
15-06-2011,76.72,27.4662064458419
16-06-2011,124.02,28.4542898709254
17-06-2011,171.5,28.2238762175966
20-06-2011,201.65,27.8388085944618
21-06-2011,95.73,27.6932826618989
22-06-2011,68.93,27.7075232255156
23-06-2011,109.84,27.5789285250828
24-06-2011,124.95,27.7589336890479
27-06-2011,108.71,27.583865579259
28-06-2011,101.97,27.220264499365
29-06-2011,132.5,27.3526468384575
30-06-2011,128.68,27.2001835759175
01-07-2011,75.9,27.1567713910132
05-07-2011,118.28,27.4368986218964
06-07-2011,134.79,27.1497478229883
07-07-2011,99.83,26.9513387795669
08-07-2011,199.44,27.1778370845591
11-07-2011,250.81,26.4290513417532
12-07-2011,187.56,27.9955534246059
13-07-2011,129.06,27.4456370827758
14-07-2011,170.74,27.5830604071975
15-07-2011,163.6,27.8524596966357
18-07-2011,99.15,27.4771634329503
19-07-2011,136.4,27.8497570117785
20-07-2011,116.97,29.0218148436135
21-07-2011,121.99,28.9152098880179
22-07-2011,199.37,29.3096086406119
25-07-2011,338.91,29.0448452566417
26-07-2011,266.01,28.1108790149597
27-07-2011,261.74,27.8165124681476
28-07-2011,254.85,30.5965928421559
29-07-2011,291.21,29.9184663499762
01-08-2011,329.02,29.5205699773545
02-08-2011,490.89,29.1773573425425
03-08-2011,356.2,29.9015671503676
04-08-2011,130.12,30.2633230454445
05-08-2011,189.76,36.9144664094693
08-08-2011,476.87,36.3562466598476
09-08-2011,443.48,41.3557792301224
10-08-2011,305.99,40.1061966170141
11-08-2011,230.29,39.4011913949996
12-08-2011,359.28,39.8040650652359
15-08-2011,253.66,39.3712202649434
16-08-2011,203.84,40.2980129660268
17-08-2011,146.26,40.1120764987003
18-08-2011,173.87,39.40010059
19-08-2011,252.25,41.30373156
22-08-2011,232.55,41.1688783642696
23-08-2011,230.6,40.6117364881767
24-08-2011,194.72,41.0376227908226
25-08-2011,123.67,40.6300414558231
26-08-2011,215.31,40.1644686522282
29-08-2011,178.83,39.8630530340046
30-08-2011,146,40.4645715320629
31-08-2011,152.92,40.0296114788398
01-09-2011,252.61,39.2700612515909
02-09-2011,234.96,39.1525848206998
06-09-2011,245.23,39.6836499851731
07-09-2011,185.2,40.3180868732456
08-09-2011,316.78,40.3709063601696
09-09-2011,277.01,39.7327287451914
12-09-2011,157.25,39.8365946167285
13-09-2011,315.92,39.2124833775773
14-09-2011,271.84,38.9967069730495
15-09-2011,224.41,38.6611761167968
16-09-2011,237.76,38.1476863990685
19-09-2011,247.22,37.5946403242352
20-09-2011,216.69,37.2236050256401
21-09-2011,189.98,37.0332093756061
22-09-2011,112.34,37.7084525739125
23-09-2011,112.93,40.5323598029858
26-09-2011,273.93,39.9594564330546
27-09-2011,207.28,39.5312099601548
28-09-2011,148.13,40.3418522171085
29-09-2011,100.61,39.3149227121219
30-09-2011,106.29,38.8469875401348
03-10-2011,171.61,38.9172215109646
04-10-2011,183.46,39.6756195030137
05-10-2011,143.93,38.8631847684222
06-10-2011,67.52,38.5829517221462
07-10-2011,141.09,39.6517664534577
10-10-2011,136.1,39.0448378755417
11-10-2011,170.18,39.2440619404745
12-10-2011,95.29,38.5649034651126
13-10-2011,144,38.3331405845436
14-10-2011,393.25,37.894147869544
17-10-2011,88.96,37.7268612142149
18-10-2011,110.32,36.400352527943
19-10-2011,104.7,35.9058520972385
20-10-2011,153.42,35.0209571600365
21-10-2011,106.79,34.9111732996148
24-10-2011,99.31,34.8819771090537
25-10-2011,127.73,35.6544973549543
26-10-2011,128.2,35.0767264397177
27-10-2011,73.65,34.5652550980885
28-10-2011,123.53,37.2748511816657
31-10-2011,106.27,36.789423736587
01-11-2011,85.57,36.8524962504393
02-11-2011,82.6,38.3398378955666
03-11-2011,74.38,38.3088675900517
04-11-2011,101.41,37.9855217067192
07-11-2011,65.81,37.3132041402504
08-11-2011,102.3,37.106700595491
09-11-2011,98.42,36.7669168241697
10-11-2011,146.92,36.8378408906656
11-11-2011,191.23,36.7062898225322
14-11-2011,186.38,36.658151249116
15-11-2011,116.71,36.2442387641242
16-11-2011,161.74,36.3279623209214
17-11-2011,113.76,36.1106314593785
18-11-2011,100.23,35.7466464772036
21-11-2011,175.43,35.0419916692494
22-11-2011,230.78,36.7257775288698
23-11-2011,176.33,36.5572087865452
25-11-2011,165.18,37.4841543076436
28-11-2011,120.85,37.1743944544191
29-11-2011,100.85,38.4812482324768
30-11-2011,90.16,38.3290944045227
01-12-2011,115.59,39.0606606390082
02-12-2011,184.64,38.2877283855873
05-12-2011,180.69,37.991489655841
06-12-2011,101.98,37.8272943837848
07-12-2011,168.73,37.6755296167243
08-12-2011,89.75,37.4702853192418
09-12-2011,176.26,37.7320338779319
12-12-2011,270.45,37.7045661299477
13-12-2011,198.44,37.0411361267277
14-12-2011,167.64,37.1309768926254
15-12-2011,106.34,37.4467872057412
16-12-2011,164.61,37.2000582823927
19-12-2011,235.34,36.4729129061749
20-12-2011,203.98,36.0992985008256
21-12-2011,180.75,36.8720346840991
22-12-2011,137.25,36.6331184781865
23-12-2011,204.63,36.8609379257858
27-12-2011,219.79,36.5891430699794
28-12-2011,133.43,36.2593103692287
29-12-2011,170.36,36.1128901234964
30-12-2011,140.77,35.0891441084447
03-01-2012,200.32,35.0767286089356
04-01-2012,159.76,36.0149667517385
05-01-2012,92.24,35.1469175477665
06-01-2012,134.12,34.9458250569084
09-01-2012,126.95,34.8693070970435
10-01-2012,84.34,34.3004344751685
11-01-2012,168.32,34.5058852231328
12-01-2012,111.69,33.0474047932336
13-01-2012,162.32,33.0476528528956
17-01-2012,147.06,32.1996211240704
18-01-2012,103.11,31.9658404903579
19-01-2012,185.3,31.9053500087595
20-01-2012,118.88,31.4386721934844
23-01-2012,158.58,30.4616202746598
24-01-2012,163.32,30.3870591095806
25-01-2012,284.94,30.2527974093331
26-01-2012,124.86,29.6593507241071
27-01-2012,94.26,29.2163520520976
30-01-2012,125.16,28.430337776955
31-01-2012,92.52,27.8524862216756
01-02-2012,123.13,27.1779140357924
02-02-2012,103.72,27.5237139686188
03-02-2012,145.63,27.6771219949741
06-02-2012,153.87,27.604004161049
07-02-2012,103.69,27.2371741373026
08-02-2012,106.66,26.9966649211971
09-02-2012,93.89,27.1121742292379
10-02-2012,168.02,27.8509557134749
13-02-2012,91.89,28.6849045731442
14-02-2012,122.49,28.647380764074
15-02-2012,65.95,28.9356410527802
16-02-2012,128.4,28.9083024946365
17-02-2012,180.16,28.8561778403811
21-02-2012,109.8,28.6956919906547
22-02-2012,119.14,29.6610790675335
23-02-2012,58.2,28.6280764904317
24-02-2012,66.25,28.782077190389
27-02-2012,87.58,28.655877821118
28-02-2012,73.57,28.4138421322735
29-02-2012,51.9,28.8842263948727
01-03-2012,91.38,27.6576400823242
02-03-2012,66.24,27.641102571604
05-03-2012,74.99,27.4024142666777
06-03-2012,73.46,27.3256077809179
07-03-2012,90.74,27.9864626871928
08-03-2012,54.01,28.0439186907072
