Date,Carbon,TCI
04-08-2014,126.26,21.1482890835357
05-08-2014,125.66,21.0885591329319
06-08-2014,125.86,20.1038593867027
07-08-2014,120.4,20.136363495323
08-08-2014,121.01,19.9756152033582
11-08-2014,124.24,19.8115658495696
12-08-2014,123.84,21.5030259299857
13-08-2014,126.26,21.6242096026993
14-08-2014,126.26,21.9889560718037
15-08-2014,129.29,21.8094543629154
18-08-2014,128.48,22.0217712630182
19-08-2014,130.51,22.1586807347011
20-08-2014,130.1,22.1794942660786
21-08-2014,128.69,21.5844336778239
22-08-2014,128.89,21.0581741613546
25-08-2014,128.28,20.987043292258
26-08-2014,127.68,21.0473262335175
27-08-2014,128.89,20.5459769504001
28-08-2014,130.51,20.3756355406314
29-08-2014,129.49,20.7209053608714
02-09-2014,129.5,21.3028221838868
03-09-2014,128.08,21.6162906758814
04-09-2014,123.83,21.3059051357967
05-09-2014,126.86,20.8513048464951
08-09-2014,127.06,20.7274552062994
09-09-2014,124.01,20.2411947982016
10-09-2014,123.21,22.0433872658075
11-09-2014,123.61,21.7313884302497
12-09-2014,122.36,21.4782236845138
15-09-2014,119.75,21.5613485350765
16-09-2014,117.34,23.7710004122464
17-09-2014,119.14,23.8694752288771
18-09-2014,120.95,23.7042852922627
19-09-2014,121.75,23.4443139237001
22-09-2014,121.15,23.4501425367398
23-09-2014,114.47,23.9199750558121
24-09-2014,117.48,23.4176429229274
25-09-2014,117.48,23.2276953778584
26-09-2014,119.68,24.075238748518
29-09-2014,116.41,24.3152228471156
30-09-2014,117.81,23.8517201627529
01-10-2014,117.21,23.9597391718005
02-10-2014,114.73,25.1486706050303
03-10-2014,114.53,24.7961909538227
06-10-2014,114.53,24.6349912467912
07-10-2014,115.53,24.481866557526
08-10-2014,122.03,24.9648948124781
09-10-2014,123.43,24.3915863286622
10-10-2014,121.83,26.3791999835919
13-10-2014,122.23,27.1882981296817
14-10-2014,122.63,28.5422974021112
15-10-2014,124.14,28.3478229789722
16-10-2014,125.34,27.7951639888085
17-10-2014,123.62,28.4019894877316
20-10-2014,123.94,28.2040693541317
21-10-2014,124.74,28.3915277896326
22-10-2014,125.74,28.1776763569259
23-10-2014,127.94,28.2517940558279
24-10-2014,129.33,28.3516121553515
27-10-2014,126.94,28.0747619118127
28-10-2014,124.34,28.204955163996
29-10-2014,129.53,28.6271928797913
