Date,TCI,VIX
14-10-2010,19.4270330065575,19.88
15-10-2010,19.4199039661566,19.03
18-10-2010,19.6303024459391,19.09
19-10-2010,19.3392072505509,20.63
20-10-2010,22.1234104666385,19.79
21-10-2010,22.4128255170139,19.27
22-10-2010,22.2118675912395,18.78
25-10-2010,21.9715855259317,19.85
26-10-2010,22.1271255174459,20.22
27-10-2010,21.7177067592137,20.71
28-10-2010,21.6440667293278,20.88
29-10-2010,21.6366356138626,21.2
01-11-2010,21.3859143853901,21.83
02-11-2010,20.78920779,21.57
03-11-2010,21.1307521510381,19.56
04-11-2010,21.1554375076316,18.52
05-11-2010,22.0959183148853,18.26
08-11-2010,21.8795966912093,18.29
09-11-2010,21.2295717615492,19.08
10-11-2010,21.4959815502477,18.47
11-11-2010,21.1366975539506,18.64
12-11-2010,21.0032019184066,20.61
15-11-2010,23.2105672396916,20.2
16-11-2010,22.9438537127891,22.58
17-11-2010,25.1951862138074,21.76
18-11-2010,24.6967130797687,18.75
19-11-2010,25.0899887720143,18.04
22-11-2010,24.827576633519,18.37
23-11-2010,24.6389334656108,20.63
24-11-2010,25.3500149332792,19.56
26-11-2010,25.5754828567457,22.22
29-11-2010,25.4649285403175,21.53
30-11-2010,25.0674537557258,23.54
01-12-2010,24.1778186940261,21.36
02-12-2010,24.7514722430785,19.39
03-12-2010,25.1382703264475,18.01
06-12-2010,25.284507123183,18.02
07-12-2010,25.2237627509183,17.99
08-12-2010,25.0447034563141,17.74
09-12-2010,24.5201301835191,17.25
10-12-2010,24.1435669564786,17.61
13-12-2010,23.9060600746188,17.55
14-12-2010,23.5245815832294,17.61
15-12-2010,23.3687583721157,17.94
16-12-2010,23.3737783523761,17.39
17-12-2010,23.232371422211,16.11
20-12-2010,22.9155369087028,16.41
21-12-2010,22.6193172611866,16.49
22-12-2010,22.8359501206291,15.45
23-12-2010,22.4466193783978,16.47
27-12-2010,22.6389885480054,17.67
28-12-2010,22.3729684246529,17.52
29-12-2010,22.0283684992527,17.28
30-12-2010,21.796287934625,17.52
31-12-2010,21.684708177802,17.75
03-01-2011,21.216266217437,17.61
04-01-2011,21.3054858237837,17.38
05-01-2011,20.9736842735616,17.02
06-01-2011,20.0433009535206,17.4
07-01-2011,20.429966722858,17.14
10-01-2011,20.1944889481644,17.54
11-01-2011,19.1667521810578,16.89
12-01-2011,19.0364034198294,16.24
13-01-2011,21.3408895952093,16.39
14-01-2011,21.1782720082987,15.46
18-01-2011,20.5284529847775,15.87
19-01-2011,19.349347568986,17.31
20-01-2011,19.1612713993071,17.99
21-01-2011,20.5557590243021,18.47
24-01-2011,19.8327059926413,17.65
25-01-2011,19.842825293527,17.59
26-01-2011,19.9353774863626,16.64
27-01-2011,19.7926134002245,16.15
28-01-2011,19.4994777669697,20.04
31-01-2011,19.5592838185724,19.53
01-02-2011,18.7264906855274,17.63
02-02-2011,19.2337010002909,17.3
03-02-2011,19.6278026770538,16.69
04-02-2011,19.794265113096,15.93
07-02-2011,19.6461276875412,16.28
08-02-2011,19.7311965130459,15.81
09-02-2011,19.099123242547,15.87
10-02-2011,19.117967040348,16.09
11-02-2011,19.4800687523376,15.69
14-02-2011,19.2302175074443,15.95
15-02-2011,19.3810719327911,16.37
16-02-2011,19.4485792788417,16.72
17-02-2011,19.6051160746978,16.59
18-02-2011,19.4275771518213,16.43
22-02-2011,19.3329770601989,20.8
23-02-2011,21.4327745120289,22.13
24-02-2011,22.4786856974322,21.32
25-02-2011,21.8485307032347,19.22
28-02-2011,21.9970729971366,18.35
01-03-2011,20.7301484834501,21.01
02-03-2011,20.6244699097299,20.7
03-03-2011,20.4885783081667,18.6
04-03-2011,20.3741236653902,19.06
07-03-2011,19.9748110362528,20.66
08-03-2011,20.066061860064,19.82
09-03-2011,19.8748288626614,20.22
10-03-2011,19.3118841108311,21.88
11-03-2011,20.2168070766838,20.08
14-03-2011,20.2746408665203,21.13
15-03-2011,20.3771529188867,24.32
16-03-2011,21.0608988843779,29.4
17-03-2011,20.9771668582518,26.37
18-03-2011,20.217512655488,24.44
21-03-2011,19.9309603286533,20.61
22-03-2011,19.9344853509699,20.21
23-03-2011,19.9324026676309,19.17
24-03-2011,19.7807601768595,18
25-03-2011,19.7337699417769,17.91
28-03-2011,19.7514883021178,19.44
29-03-2011,19.8858758763563,18.16
30-03-2011,18.8926884520328,17.71
31-03-2011,18.8613501712005,17.74
01-04-2011,19.0751689717839,17.4
04-04-2011,19.7546863355228,17.5
05-04-2011,19.3493472241192,17.25
06-04-2011,18.8436492161858,16.9
07-04-2011,18.1680515170194,17.11
08-04-2011,18.1619276538591,17.87
11-04-2011,17.6335284923195,16.59
12-04-2011,17.6207796288405,17.09
13-04-2011,19.0984795268481,16.92
14-04-2011,19.0897225002556,16.27
15-04-2011,19.1217347694901,15.32
18-04-2011,19.1419167491954,16.96
19-04-2011,21.3414032004649,15.83
20-04-2011,21.2138939722409,15.07
21-04-2011,21.893360396372,14.69
25-04-2011,21.8020789181828,15.77
26-04-2011,21.7460456507467,15.62
27-04-2011,21.8302745885852,15.35
28-04-2011,21.2227530509615,14.62
29-04-2011,20.9417745781226,14.75
02-05-2011,20.3177836564456,15.99
03-05-2011,20.3310051912484,16.7
04-05-2011,21.8189945422346,17.08
05-05-2011,23.4339332070511,18.2
06-05-2011,25.0019362270655,18.4
09-05-2011,24.0873469621842,17.16
10-05-2011,23.8226798653439,15.91
11-05-2011,23.7684821325852,16.95
12-05-2011,24.5311699097352,16.03
13-05-2011,24.3567333174024,17.07
16-05-2011,24.038535899962,18.24
17-05-2011,24.1168903134835,17.55
18-05-2011,24.3739994059329,16.23
19-05-2011,23.6834080419627,15.52
20-05-2011,23.0317418191471,17.43
23-05-2011,22.7969305564842,18.27
24-05-2011,24.1068030470067,17.82
25-05-2011,23.5530821667656,17.07
26-05-2011,22.9983900021014,16.09
27-05-2011,22.9677953716459,15.98
31-05-2011,23.2304609081314,15.45
01-06-2011,27.3481925924374,18.3
02-06-2011,28.1423333024095,18.09
03-06-2011,27.6283431361646,17.95
06-06-2011,27.3833743701939,18.49
07-06-2011,27.4324884381768,18.07
08-06-2011,27.127912601449,18.79
09-06-2011,27.5064345244596,17.77
10-06-2011,27.4227465504071,18.86
13-06-2011,28.0596267540483,19.61
14-06-2011,27.7006725655369,18.26
15-06-2011,27.4662064458419,21.32
16-06-2011,28.4542898709254,22.73
17-06-2011,28.2238762175966,21.85
20-06-2011,27.8388085944618,19.99
21-06-2011,27.6932826618989,18.86
22-06-2011,27.7075232255156,18.52
23-06-2011,27.5789285250828,19.29
24-06-2011,27.7589336890479,21.1
27-06-2011,27.583865579259,20.56
28-06-2011,27.220264499365,19.17
29-06-2011,27.3526468384575,17.27
30-06-2011,27.2001835759175,16.52
01-07-2011,27.1567713910132,15.87
05-07-2011,27.4368986218964,16.06
06-07-2011,27.1497478229883,16.34
07-07-2011,26.9513387795669,15.95
08-07-2011,27.1778370845591,15.95
11-07-2011,26.4290513417532,18.39
12-07-2011,27.9955534246059,19.87
13-07-2011,27.4456370827758,19.91
14-07-2011,27.5830604071975,20.8
15-07-2011,27.8524596966357,19.53
