Date,TCI,OVX
17-05-2011,24.1168903134835,38.67
18-05-2011,24.3739994059329,38.6
19-05-2011,23.6834080419627,37.29
20-05-2011,23.0317418191471,37.18
23-05-2011,22.7969305564842,38.73
24-05-2011,24.1068030470067,36.58
25-05-2011,23.5530821667656,35.53
26-05-2011,22.9983900021014,34.01
27-05-2011,22.9677953716459,33.47
31-05-2011,23.2304609081314,33.51
01-06-2011,27.3481925924374,34.77
02-06-2011,28.1423333024095,33.26
03-06-2011,27.6283431361646,32.37
06-06-2011,27.3833743701939,34.03
07-06-2011,27.4324884381768,33.62
08-06-2011,27.127912601449,32.83
09-06-2011,27.5064345244596,32.16
10-06-2011,27.4227465504071,33.47
13-06-2011,28.0596267540483,34.69
14-06-2011,27.7006725655369,32.57
15-06-2011,27.4662064458419,35.75
16-06-2011,28.4542898709254,35.59
17-06-2011,28.2238762175966,36.31
20-06-2011,27.8388085944618,35.91
21-06-2011,27.6932826618989,35.72
22-06-2011,27.7075232255156,34.29
23-06-2011,27.5789285250828,34.48
24-06-2011,27.7589336890479,35.08
27-06-2011,27.583865579259,34.66
28-06-2011,27.220264499365,32.88
29-06-2011,27.3526468384575,32.29
30-06-2011,27.2001835759175,31.36
01-07-2011,27.1567713910132,30.57
05-07-2011,27.4368986218964,30.79
06-07-2011,27.1497478229883,31.04
07-07-2011,26.9513387795669,30.96
08-07-2011,27.1778370845591,30.86
11-07-2011,26.4290513417532,33.98
12-07-2011,27.9955534246059,33.3
13-07-2011,27.4456370827758,33.6
14-07-2011,27.5830604071975,33.57
15-07-2011,27.8524596966357,31.88
18-07-2011,27.4771634329503,32.85
19-07-2011,27.8497570117785,31.46
20-07-2011,29.0218148436135,31.18
21-07-2011,28.9152098880179,31.08
22-07-2011,29.3096086406119,30.63
25-07-2011,29.0448452566417,31.23
26-07-2011,28.1108790149597,31.17
27-07-2011,27.8165124681476,32.34
28-07-2011,30.5965928421559,33.13
29-07-2011,29.9184663499762,33.64
01-08-2011,29.5205699773545,34.29
02-08-2011,29.1773573425425,35.27
03-08-2011,29.9015671503676,34.02
04-08-2011,30.2633230454445,42.94
05-08-2011,36.9144664094693,42.37
08-08-2011,36.3562466598476,56.17
09-08-2011,41.3557792301224,61.82
10-08-2011,40.1061966170141,59.45
11-08-2011,39.4011913949996,50.25
12-08-2011,39.8040650652359,49.06
15-08-2011,39.3712202649434,44.66
16-08-2011,40.2980129660268,43.95
17-08-2011,40.1120764987003,42.67
18-08-2011,39.40010059,57.42
19-08-2011,41.30373156,55.29
22-08-2011,41.1688783642696,52.4
23-08-2011,40.6117364881767,47.67
24-08-2011,41.0376227908226,47.89
25-08-2011,40.6300414558231,51.42
26-08-2011,40.1644686522282,48.12
29-08-2011,39.8630530340046,45.63
30-08-2011,40.4645715320629,44.74
31-08-2011,40.0296114788398,44.33
01-09-2011,39.2700612515909,42.77
02-09-2011,39.1525848206998,45.33
06-09-2011,39.6836499851731,47.41
07-09-2011,40.3180868732456,44.9
08-09-2011,40.3709063601696,45.7
09-09-2011,39.7327287451914,49.45
12-09-2011,39.8365946167285,48.14
13-09-2011,39.2124833775773,45.14
14-09-2011,38.9967069730495,43.72
15-09-2011,38.6611761167968,42.05
16-09-2011,38.1476863990685,41.7
19-09-2011,37.5946403242352,45.93
20-09-2011,37.2236050256401,45.8
21-09-2011,37.0332093756061,47.35
22-09-2011,37.7084525739125,55.61
23-09-2011,40.5323598029858,54.63
26-09-2011,39.9594564330546,54.31
27-09-2011,39.5312099601548,50.13
28-09-2011,40.3418522171085,53.51
29-09-2011,39.3149227121219,50.62
30-09-2011,38.8469875401348,55.68
03-10-2011,38.9172215109646,58.65
04-10-2011,39.6756195030137,57.09
05-10-2011,38.8631847684222,52.79
06-10-2011,38.5829517221462,50.04
07-10-2011,39.6517664534577,49.71
10-10-2011,39.0448378755417,47.21
11-10-2011,39.2440619404745,47.07
12-10-2011,38.5649034651126,47.53
13-10-2011,38.3331405845436,47.76
14-10-2011,37.894147869544,45.35
17-10-2011,37.7268612142149,50.14
18-10-2011,36.400352527943,47.8
19-10-2011,35.9058520972385,50.01
20-10-2011,35.0209571600365,49.52
21-10-2011,34.9111732996148,48.03
24-10-2011,34.8819771090537,45.6
25-10-2011,35.6544973549543,48.27
26-10-2011,35.0767264397177,47.59
27-10-2011,34.5652550980885,43.82
28-10-2011,37.2748511816657,41.58
31-10-2011,36.789423736587,43.26
01-11-2011,36.8524962504393,46.63
02-11-2011,38.3398378955666,45.56
03-11-2011,38.3088675900517,43.85
04-11-2011,37.9855217067192,42.45
07-11-2011,37.3132041402504,43.3
08-11-2011,37.106700595491,43.35
09-11-2011,36.7669168241697,48.97
10-11-2011,36.8378408906656,47.84
11-11-2011,36.7062898225322,46.6
14-11-2011,36.658151249116,46.41
15-11-2011,36.2442387641242,43.05
16-11-2011,36.3279623209214,43.29
17-11-2011,36.1106314593785,42.94
18-11-2011,35.7466464772036,42.94
21-11-2011,35.0419916692494,44.82
22-11-2011,36.7257775288698,42.94
23-11-2011,36.5572087865452,45.19
25-11-2011,37.4841543076436,45.37
28-11-2011,37.1743944544191,44.52
29-11-2011,38.4812482324768,42.7
30-11-2011,38.3290944045227,41
01-12-2011,39.0606606390082,40.89
02-12-2011,38.2877283855873,39.8
05-12-2011,37.991489655841,39.34
06-12-2011,37.8272943837848,38.23
07-12-2011,37.6755296167243,38.34
08-12-2011,37.4702853192418,40.27
09-12-2011,37.7320338779319,38.87
12-12-2011,37.7045661299477,40.45
13-12-2011,37.0411361267277,39.39
14-12-2011,37.1309768926254,43.82
15-12-2011,37.4467872057412,45.04
16-12-2011,37.2000582823927,41.73
19-12-2011,36.4729129061749,41.27
20-12-2011,36.0992985008256,38.96
21-12-2011,36.8720346840991,36.37
22-12-2011,36.6331184781865,35.81
23-12-2011,36.8609379257858,35.74
27-12-2011,36.5891430699794,36.95
28-12-2011,36.2593103692287,38.73
29-12-2011,36.1128901234964,38.66
30-12-2011,35.0891441084447,38.74
03-01-2012,35.0767286089356,40.07
04-01-2012,36.0149667517385,39.04
05-01-2012,35.1469175477665,38.7
06-01-2012,34.9458250569084,37.12
09-01-2012,34.8693070970435,36.52
10-01-2012,34.3004344751685,35.44
11-01-2012,34.5058852231328,35.52
12-01-2012,33.0474047932336,36.59
13-01-2012,33.0476528528956,35.62
17-01-2012,32.1996211240704,33.97
18-01-2012,31.9658404903579,32.59
19-01-2012,31.9053500087595,33.51
20-01-2012,31.4386721934844,33.35
23-01-2012,30.4616202746598,33.16
24-01-2012,30.3870591095806,33.23
25-01-2012,30.2527974093331,31.93
26-01-2012,29.6593507241071,31.97
27-01-2012,29.2163520520976,31.57
30-01-2012,28.430337776955,31.74
31-01-2012,27.8524862216756,32.31
01-02-2012,27.1779140357924,32.18
02-02-2012,27.5237139686188,31.81
03-02-2012,27.6771219949741,30.71
06-02-2012,27.604004161049,31.2
07-02-2012,27.2371741373026,32.41
08-02-2012,26.9966649211971,32.32
09-02-2012,27.1121742292379,32.43
10-02-2012,27.8509557134749,32.83
13-02-2012,28.6849045731442,33.3
14-02-2012,28.647380764074,33.64
15-02-2012,28.9356410527802,34.85
16-02-2012,28.9083024946365,33.99
17-02-2012,28.8561778403811,33.05
21-02-2012,28.6956919906547,34.68
22-02-2012,29.6610790675335,33.67
23-02-2012,28.6280764904317,33.21
24-02-2012,28.782077190389,33.8
27-02-2012,28.655877821118,34.12
28-02-2012,28.4138421322735,33.52
29-02-2012,28.8842263948727,32.52
01-03-2012,27.6576400823242,33.2
02-03-2012,27.641102571604,32.91
05-03-2012,27.4024142666777,33.34
06-03-2012,27.3256077809179,34.34
07-03-2012,27.9864626871928,32.93
08-03-2012,28.0439186907072,32.12
09-03-2012,27.7223392197638,31.42
12-03-2012,27.6089537258137,30
13-03-2012,27.0693098990788,29.45
14-03-2012,26.8851227173768,29.31
15-03-2012,26.9712640678124,29.44
16-03-2012,26.8217147871509,28.68
19-03-2012,26.7038211361591,26.85
20-03-2012,26.6603848012228,27.87
21-03-2012,26.5854343445175,26.93
22-03-2012,26.6114321274595,27.51
23-03-2012,26.8357264759844,28.17
26-03-2012,26.9179451257955,27.89
27-03-2012,26.7825088887235,27.53
28-03-2012,26.794181826665,28.03
29-03-2012,27.3209424767498,28.94
30-03-2012,27.9792078585497,29
02-04-2012,27.553047806846,28.46
03-04-2012,27.4930362969717,27.95
04-04-2012,27.1229139224408,28.73
05-04-2012,25.3594527265413,28.03
09-04-2012,25.2025276726039,29.84
10-04-2012,25.5221628991693,31.62
11-04-2012,26.1374694681761,30.69
12-04-2012,26.4453301826789,29.41
13-04-2012,26.4380990405094,29.61
16-04-2012,26.4113145706006,29.78
17-04-2012,26.2703139841845,28.74
18-04-2012,26.1971408209859,28.36
19-04-2012,25.9708395151826,28.31
20-04-2012,25.7410401404037,27.1
23-04-2012,25.4076030051754,26.91
24-04-2012,25.5691740239375,26.11
25-04-2012,25.4241040040161,25.68
26-04-2012,25.0216251678407,24.62
27-04-2012,24.6066811530829,24.34
30-04-2012,24.5177687509753,25.15
01-05-2012,24.2807659019956,25.12
02-05-2012,23.4636289029285,25.03
03-05-2012,23.0330883076879,27.46
04-05-2012,23.6045604719727,29.79
07-05-2012,24.6325565337801,29.07
08-05-2012,24.9054395672219,29.06
09-05-2012,25.2175440511004,29.27
10-05-2012,24.6499072921016,28.61
11-05-2012,24.1495597562617,28.79
14-05-2012,23.9040226505793,30.96
15-05-2012,24.6549405744981,32.13
16-05-2012,25.0791214614455,31.48
17-05-2012,26.0170818381529,32.62
18-05-2012,26.0133733055392,33.18
21-05-2012,26.8069659551033,30.01
22-05-2012,27.5058938177939,29.75
23-05-2012,27.2918845839411,30.9
24-05-2012,27.4866909029395,30.12
25-05-2012,27.3024052066415,30.19
29-05-2012,26.979334955892,30.72
30-05-2012,27.127161417058,33.32
31-05-2012,26.7817967403865,34.79
01-06-2012,26.4141766332922,41.63
04-06-2012,28.6400770225402,38.58
05-06-2012,28.4714834226475,36.67
06-06-2012,28.1601245632441,35.58
07-06-2012,27.2148806156657,36.9
08-06-2012,27.0433117021392,37.57
11-06-2012,26.9495487028147,42.31
12-06-2012,26.8958906820532,39.45
13-06-2012,26.5483194371735,39.07
14-06-2012,26.1573730897614,36.19
15-06-2012,25.8145604309491,36.28
18-06-2012,26.1942430184987,35.04
19-06-2012,26.0204620712515,32.92
20-06-2012,26.9778125269408,34.66
21-06-2012,26.6377636602953,37.52
22-06-2012,27.8568231642839,35.08
25-06-2012,28.0683210131775,36.84
26-06-2012,28.9113031989062,34.42
27-06-2012,28.0638890142716,33.45
28-06-2012,27.8637970975544,34.58
29-06-2012,27.7381338556036,35
02-07-2012,32.494290302372,36.38
03-07-2012,31.6303408267339,38.29
05-07-2012,31.3088293152406,38.22
06-07-2012,31.210966283321,37.51
09-07-2012,31.0774095000769,37.28
10-07-2012,31.0594452293116,37.68
11-07-2012,31.0974083029673,35.97
12-07-2012,30.7668207503289,34.46
13-07-2012,30.4212194897442,33.86
16-07-2012,29.8448121242887,34.01
17-07-2012,29.7413058879951,35.36
18-07-2012,29.601492096627,34.93
19-07-2012,29.5168695899454,36.74
20-07-2012,28.6230773296133,35.33
23-07-2012,28.5716174459638,37.23
24-07-2012,30.7051689301984,36.27
25-07-2012,30.7320192096903,34.86
26-07-2012,30.3975646907821,34.1
27-07-2012,30.5850394837979,32.99
30-07-2012,30.4928850448686,33.09
31-07-2012,29.6361691249557,34.53
01-08-2012,29.347187077902,33.98
02-08-2012,29.3682641197531,33.6
03-08-2012,28.7115530859506,33.23
06-08-2012,28.4179355015383,32.07
07-08-2012,28.1310310141215,32.15
08-08-2012,28.3568854223443,31.42
09-08-2012,27.8749427019096,30.78
10-08-2012,27.8414666656146,30.59
13-08-2012,27.3805264258782,29.45
14-08-2012,27.0730846845993,29.84
15-08-2012,26.7273543249352,31.18
16-08-2012,26.6226820849938,31.73
17-08-2012,26.4609192163559,31.19
20-08-2012,26.4563100306684,30.5
21-08-2012,25.9809985883358,30.64
22-08-2012,25.7313203318642,31.07
23-08-2012,25.8507015597247,31.76
24-08-2012,25.9581810605044,32.01
27-08-2012,25.6418129592936,33.42
28-08-2012,25.5478330423542,33.06
29-08-2012,25.093323588092,32.59
30-08-2012,25.1311022918319,31.95
31-08-2012,25.5904439901403,31.4
04-09-2012,26.4334901608957,33.61
05-09-2012,25.5515403810269,33.64
06-09-2012,25.3982476480481,34.07
07-09-2012,24.1000876536408,32.77
10-09-2012,24.3371698928683,32.71
11-09-2012,23.7055263969135,32.38
12-09-2012,24.0685107538798,33.33
13-09-2012,23.8630232066624,32.96
14-09-2012,23.2525541787882,34.07
17-09-2012,24.2963309857936,35.64
18-09-2012,23.6524464909092,35.81
19-09-2012,23.514066652966,36.58
20-09-2012,22.7694299427577,33.58
21-09-2012,22.8603149557272,33.21
24-09-2012,22.1470948596989,34.23
25-09-2012,21.453866422351,34.35
26-09-2012,21.9533134418395,35.13
27-09-2012,23.8117621621246,33.05
28-09-2012,24.3362993851062,32.45
01-10-2012,24.0347157236953,32.87
02-10-2012,23.7200828721668,32.53
03-10-2012,23.4085144971642,35.15
04-10-2012,22.9369278004112,33.39
05-10-2012,23.2906234210325,32.76
08-10-2012,22.7660258817344,34.05
09-10-2012,22.7436457380014,34.5
10-10-2012,22.1910687289087,35.09
11-10-2012,22.4809838259909,34.52
12-10-2012,22.6498794873773,33.69
15-10-2012,23.290524070476,33.84
16-10-2012,22.3116172197768,33.54
17-10-2012,22.189605234765,32.25
18-10-2012,22.8912578113244,30.83
19-10-2012,22.7867479973365,31.91
22-10-2012,24.3022531592514,33.13
23-10-2012,23.2822734590974,34.28
24-10-2012,23.4567755141878,33.61
25-10-2012,23.2616971074631,32.27
26-10-2012,22.8691219375525,32.21
31-10-2012,22.5283477974872,32.18
01-11-2012,21.0521566809748,31.29
02-11-2012,21.3596763024733,32.42
05-11-2012,21.6583741290328,32.1
06-11-2012,21.375860504244,32.02
07-11-2012,22.3813408212741,33.98
08-11-2012,23.4698734392498,33.51
09-11-2012,23.1794659127594,31.54
12-11-2012,22.8766735094419,30
13-11-2012,22.8297344666094,31.27
14-11-2012,23.0078971412732,31.5
15-11-2012,23.0781080941315,30.54
16-11-2012,22.9895474892622,31.1
19-11-2012,22.2133632824695,30.97
20-11-2012,23.1182526351413,29.83
21-11-2012,23.1576277939266,29.49
23-11-2012,22.9529768974928,29.49
26-11-2012,23.6324122379285,29.38
27-11-2012,22.9269713721045,28.65
28-11-2012,22.3571543107133,28.69
29-11-2012,22.1000390519389,28.28
30-11-2012,22.1400483484268,27.62
03-12-2012,21.8835664803621,28.39
04-12-2012,21.6770166901027,28.84
05-12-2012,21.3384741098173,29.13
06-12-2012,21.3900704195356,29.89
07-12-2012,21.1232982845994,29.65
10-12-2012,21.093351490786,30.32
11-12-2012,21.4171552113011,29.94
12-12-2012,20.8783691043217,29.13
13-12-2012,19.7264950275213,29.63
14-12-2012,19.1064197457831,29.32
17-12-2012,19.0205945680669,28.95
18-12-2012,18.9605054645637,28.56
19-12-2012,18.7508814540551,27.64
20-12-2012,20.6248762751052,27.61
21-12-2012,20.3968826329244,28.88
24-12-2012,21.289333790615,28.88
26-12-2012,21.188817448972,28.73
27-12-2012,20.8957261689908,28.08
28-12-2012,20.6759020112348,28.88
31-12-2012,20.4070243205148,28.45
02-01-2013,20.6389538277902,27.8
03-01-2013,24.0777511827892,26.83
04-01-2013,22.352823659099,26.03
07-01-2013,22.6789279221589,25.04
08-01-2013,22.2418102910682,24.3
09-01-2013,21.8989814856139,24.6
10-01-2013,22.3407706804184,24.59
11-01-2013,22.1832320692652,24.57
14-01-2013,22.1604835049897,25.72
15-01-2013,21.8465296541316,25.7
16-01-2013,21.7587106698085,24.39
17-01-2013,21.5942218789864,23.99
18-01-2013,21.4178535382498,21.98
22-01-2013,21.1407087548969,21.67
23-01-2013,20.5444428753592,22.75
24-01-2013,20.3989932965234,22.48
25-01-2013,20.4240617594595,22.52
28-01-2013,20.3458403240036,22.98
29-01-2013,20.5927775798282,22.97
30-01-2013,20.7850335816649,22.88
31-01-2013,21.0356568391372,22.54
01-02-2013,20.277629647278,22.4
04-02-2013,19.69872068,23.96
05-02-2013,19.7133208152991,23.06
06-02-2013,19.5755628135984,23.39
07-02-2013,19.1683066694652,23.3
08-02-2013,18.7328266039874,23.08
11-02-2013,18.7158038086935,21.68
12-02-2013,19.1027528154634,20.7
13-02-2013,19.0080417929513,21
14-02-2013,18.7652777944524,20.21
15-02-2013,17.9047635236545,22.59
19-02-2013,18.0697088652266,22.44
20-02-2013,18.8560810287677,24.97
21-02-2013,19.5533566232628,27.13
22-02-2013,20.746705854581,24.58
25-02-2013,19.9589478229251,26.22
26-02-2013,20.1871264275412,25.9
27-02-2013,19.9294297442258,24.33
28-02-2013,19.2513447858889,23.61
01-03-2013,19.0416780204642,23.68
04-03-2013,18.8959739619361,24.28
05-03-2013,18.6565834942568,22.41
06-03-2013,19.4108199203463,22.52
07-03-2013,17.8026880129702,21.29
08-03-2013,17.648094908611,20.8
11-03-2013,17.5053584667883,19.42
12-03-2013,17.3355256087975,18.77
13-03-2013,16.9463838839881,19.09
14-03-2013,15.7904177628833,18.36
15-03-2013,15.7550308287266,18.76
18-03-2013,15.5505587110509,19.45
19-03-2013,15.9936113320016,21.14
20-03-2013,16.270741583943,19.58
21-03-2013,16.499124776235,19.74
22-03-2013,16.4643266469287,19.11
25-03-2013,15.860922925548,19.08
26-03-2013,15.6196786333633,17.81
27-03-2013,15.5850703382029,17.95
28-03-2013,15.6616197272358,18.19
01-04-2013,15.6018360888767,19.2
02-04-2013,15.5491631126201,19.33
03-04-2013,15.932475715491,21.74
04-04-2013,16.9034232457859,21.84
05-04-2013,16.7971199201947,21.39
08-04-2013,16.6229031405319,21.01
09-04-2013,16.9665447257403,20.64
10-04-2013,17.2444123288677,20.55
11-04-2013,17.6693451014118,21.2
12-04-2013,17.5412304719672,22.59
15-04-2013,17.9262255825426,29.84
16-04-2013,22.1063552736468,27.32
17-04-2013,21.3762390242518,31.14
18-04-2013,22.0247692425442,28.53
19-04-2013,21.703643741532,27.57
22-04-2013,21.8115361064673,25.07
23-04-2013,21.9092941488459,24.43
24-04-2013,21.8545542368858,23.26
25-04-2013,22.6766050804364,22.68
26-04-2013,21.7625336773516,22.51
29-04-2013,21.4011070127969,23.44
30-04-2013,22.0396350639149,24.57
01-05-2013,21.900916734137,26.68
02-05-2013,22.7076282740012,24.49
03-05-2013,23.2692723672584,24.01
06-05-2013,22.8634954016105,25.16
07-05-2013,22.6714236291038,24.38
08-05-2013,22.5238496728189,22.64
